,Reputation,AccountId,has_website,account_age_days,AboutMe_Word_Count,AboutMe_Sentiment
0,1,-1,True,0,62,0.1398148148148148
1,31681,30864,True,5296,66,0.0
2,1145,519694,True,729,0,0.0
3,141,519695,True,127,15,0.2857142857142857
4,379,519696,True,184,0,0.0
5,199,519697,True,1,0,0.0
6,496,447910,True,294,0,0.0
7,8683,519698,True,1777,23,0.3068181818181818
8,429,519699,True,45,0,0.0
9,6230,519700,True,864,37,0.4041666666666667
10,51,849798,True,0,0,0.0
11,1923,519701,True,544,34,-0.033333333333333326
12,3893,42418,False,4208,0,0.0
13,231,18618,True,1,2,0.0
14,3768,9520,True,4301,0,0.0
15,31,495269,False,105,0,0.0
16,51,519702,True,6,0,0.0
17,176,519703,True,264,25,0.25
18,1636,2348,True,3798,13,0.05
19,476,519704,True,0,0,0.0
20,472,886281,True,226,30,0.375
21,101,285,False,0,4,0.1
22,223,519705,True,3,2,0.0
23,401,849799,True,7,0,0.0
24,321,519706,True,127,112,0.19090909090909092
25,201,6248,True,1561,0,0.0
26,89,886275,False,10,0,0.0
27,259,519707,False,157,0,0.0
28,76,849792,False,0,0,0.0
29,173,7460,False,2910,0,0.0
30,477,7323,False,3070,2,0.0
31,181,31902,False,757,0,0.0
32,1110,9754,True,4905,38,0.125
33,2286,494991,True,344,56,0.32499999999999996
34,93,519708,True,87,0,0.0
35,2034,886276,True,182,24,0.012499999999999997
36,2209,14717,True,3199,50,0.02708333333333333
37,301,519709,True,0,0,0.0
38,25230,12343,True,4253,62,0.07395833333333333
39,1161,519710,True,11,97,0.21666666666666667
40,347,519711,True,131,0,0.0
41,691,519712,True,8,0,0.0
42,286,519713,True,43,0,0.0
43,926,35842,False,4609,11,0.375
44,61,849825,True,0,0,0.0
45,96,519714,True,172,0,0.0
46,484,519715,True,71,6,0.0
47,51,849793,False,0,0,0.0
48,51,849794,True,14,0,0.0
49,925,519716,True,3336,0,0.0
50,865,38687,True,2658,4,0.5
51,1164,28947,True,4265,0,0.0
52,191,8234,False,5162,40,0.037169312169312164
53,877,519717,True,144,0,0.0
54,153,519718,True,400,0,0.0
55,371,519719,True,6,4,0.0
56,431,519720,True,0,0,0.0
57,893,849996,True,182,0,0.0
58,2448,207,True,5148,22,0.4
59,191,519721,True,76,7,0.0
60,81,519722,True,90,0,0.0
61,233,67999,True,40,27,0.175
62,101,5222,True,923,0,0.0
63,515,225515,True,344,0,0.0
64,31,886282,True,0,0,0.0
65,52979,14543,True,5214,22,0.0
66,1199,4105,True,2910,15,-0.125
67,811,519723,True,2603,0,0.0
68,297,45242,False,4130,0,0.0
69,301,519724,True,2,0,0.0
70,117,519725,True,30,16,-0.25
71,268,16244,True,4978,15,0.0
72,2205,886279,True,171,0,0.0
73,1483,22130,False,2766,0,0.0
74,286,519726,True,12,0,0.0
75,383,10311,True,5125,6,0.0
76,131,886280,False,13,0,0.0
77,721,23210,True,3440,0,0.0
78,239,519728,True,56,0,0.0
79,6234,28131,False,5197,0,0.0
80,172273,492046,True,5185,26,0.0
81,81,849826,False,0,0,0.0
82,41,886286,True,83,0,0.0
83,710,5997,False,3661,0,0.0
84,586,18825,True,3068,21,0.0
85,101,519729,True,0,3,0.0
86,101,7865,True,2687,0,0.0
87,261,849800,False,0,0,0.0
88,93,519730,True,2823,0,0.0
89,3943,7274,True,5183,80,0.036111111111111115
90,462,519731,True,115,0,0.0
91,722,38330,False,5119,0,0.0
92,829,519732,True,136,0,0.0
93,353,886287,True,176,0,0.0
94,335,19898,False,1068,0,0.0
95,1190,66746,True,2761,0,0.0
96,96,886288,True,0,2,0.0
97,101,35615,True,207,29,0.0
98,213,28542,True,3574,7,0.0
99,71,519733,True,0,9,0.4
100,141,849795,True,63,0,0.0
101,717,886277,True,99,0,0.0
102,172,55513,True,1109,44,0.5833333333333334
103,213,3864,False,4514,14,0.0
104,351,886278,False,22,0,0.0
105,235,47126,True,1930,60,0.26666666666666666
106,126,849796,False,0,0,0.0
107,73,519734,True,5,0,0.0
108,171,34091,True,3378,0,0.0
109,858,519735,True,81,7,0.0
110,608,519736,True,198,23,0.0
111,2283,72259,True,4260,0,0.0
112,277,849797,False,97,0,0.0
113,101,40966,True,3817,54,0.5
114,6474,2532,True,1367,0,0.0
115,101,53577,True,2344,2,0.0
116,211,25753,False,1835,4,0.0
117,161,34512,True,4761,5,0.0
118,427,849801,True,101,0,0.0
119,101,849802,False,0,0,0.0
120,101,12910,True,14,5,0.0
121,101,13663,True,4438,61,0.23611111111111108
122,393,88524,True,1537,0,0.0
123,261,886283,True,99,0,0.0
124,131,30194,True,941,0,0.0
125,21,886284,True,98,0,0.0
126,171,42322,False,430,0,0.0
127,101,164797,False,2977,7,0.0
128,133,5802,False,5156,0,0.0
